trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-95.86053497204655,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-214.6803184123422,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,8,-70.37193446286246,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-99.9538645200126,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-199.839323090347,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-73.59517621587426,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-135.05637039317472,"{0: 15, 1: 9, 2: 3, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,0,-153.4570909616788,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-150.0459549096428,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-100.56390591855842,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-104.85232436868377,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-80.6111512173208,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-128.00953471726314,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-55.04137358706334,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-244.27237539493248,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 4}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-114.03829631144089,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-75.13737241478773,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",30,0,-65.7449460809831,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-85.54856256164946,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-129.12826949356753,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,3,-29.96815110136174,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,23,-1.1288847813759806,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-120.33620441546343,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-68.48132814715723,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,3,-22.762420201279472,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-90.05273342445415,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-125.60367135926496,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-127.36575200192311,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-116.57970764158235,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-76.87075581945359,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,0,-105.7785249455338,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-40.34677308421493,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-70.68683262123828,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,2,-55.42525444515842,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-102.64060244691439,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,4,-68.55624296845757,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-13.83846402669983,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-110.25148884258786,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-141.01569953407912,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-33.541710569858786,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-53.87236625480358,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-44.597229802860014,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,5,-49.55771189742239,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-62.35237434765753,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-102.65684028028704,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,10,8.220338479458299,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-53.41218453138657,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,2,-81.22240559972587,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-45.41923100309805,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-168.30668893342065,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,11,4.483170759951502,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,13,1.402415358260467,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,9,-85.80845201840454,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-58.530496571633975,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-65.6324473503953,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,16.40286948551332,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-104.16084550784961,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-29.604001787472132,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,6,-1.6551148194906258,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,15.445955078186202,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,17,3.6143054591259682,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
